ID,_StageName,_StageNo,_Stage_Image,_StatusType1,_StatusValue1
1,貝羅斯,1,Road_01_01.PNG,124,50
2,山林地帶,2,Road_01_02.PNG,488,5
3,古木森林,3,Road_01_03.PNG,128,10
4,冥王神殿,4,Road_01_04.PNG,124,50
5,艾利亞斯,5,Road_01_05.PNG,594,500
6,原野地帶,6,Road_01_06.PNG,488,5
7,地下洞窟,7,Road_01_07.PNG,128,10
8,山嶽地帶,8,Road_01_08.PNG,124,50
9,龍京,9,Road_01_09.PNG,488,5
10,紅高粱地,10,Road_01_10.PNG,594,1000
11,阿爾卡笛亞,11,Road_01_11.PNG,128,10
12,櫻樹湖畔,12,Road_01_12.PNG,124,50
13,奧亦奇,13,Road_01_13.PNG,488,5
14,黑月城,14,Road_01_14.PNG,128,10
15,沙漠地帶,15,Road_01_15.PNG,594,500
16,金字塔,16,Road_01_16.PNG,124,50
17,阿法,17,Road_01_17.PNG,488,5
18,黑暗森林,18,Road_01_18.PNG,128,10
19,陰森住宅,19,Road_01_19.PNG,124,50
20,奧爾卡海邊,20,Road_01_20.PNG,594,1000
21,雨林地帶,21,Road_01_21.PNG,488,5
22,克杜卡遺址,22,Road_01_22.PNG,128,10
23,貝希摩斯肚子,23,Road_01_23.PNG,124,50
24,爬呀爬大樹,24,Road_01_24.PNG,488,5
25,克杜卡遺址地下,25,Road_01_25.PNG,455,1000
26,深淵的遺址,26,Road_01_26.PNG,594,200
27,水族館,27,Road_01_27.PNG,594,200
28,地下暗渠,28,Road_01_28.PNG,594,200
29,比佛羅斯特,29,Road_01_29.PNG,594,200
30,機庫,30,Road_01_30.PNG,632,25
31,水耕農場,31,Road_01_31.PNG,594,200
32,D-拉伯,32,Road_01_32.PNG,594,200
33,聯合公會,33,Road_01_33.PNG,594,200
34,艾爾亞諾勒平原(南部),34,Road_01_34.PNG,594,200
35,艾爾亞諾勒平原(西部),35,Road_01_35.PNG,132,10
36,艾爾亞諾勒平原(東部),36,Road_01_36.PNG,594,200
37,艾爾亞諾勒山嶽地帶,37,Road_01_37.PNG,594,200
38,星光平原,38,Road_01_38.PNG,594,200
39,悲鳴海岸,39,Road_01_39.PNG,594,200
40,崩壞之塔,40,Road_01_40.PNG,455,1000
41,華納海姆,41,Road_01_41.PNG,594,200
42,世界樹的幻影入口,42,Road_01_42.PNG,594,200
43,貝爾法圖書館,43,Road_01_43.PNG,594,200
44,被遺忘的平原,44,Road_01_44.PNG,594,200
45,日落平原,45,Road_01_45.PNG,461,20
46,無限迴廊,46,Road_01_46.PNG,594,200
47,珊瑚森林,47,Road_01_47.PNG,594,200
48,歐若拉森林,48,Road_01_48.PNG,594,200
49,青空城,49,Road_01_49.PNG,594,200
50,彼翠樹林,50,Road_01_50.PNG,632,25
51,暴風監視者廢墟,51,Road_01_51.PNG,594,200
52,石英洞窟,52,Road_01_52.PNG,594,200
53,蘑菇森林,53,Road_01_53.PNG,594,200
54,梅林島,54,Road_01_54.PNG,594,200
55,黃金海岸,55,Road_01_55.PNG,132,10
56,亞奇城,56,Road_01_56.PNG,594,200
57,賽蕾斯的神殿,57,Road_01_57.PNG,594,200
58,猶忒王國首都,58,Road_01_58.PNG,594,200
59,白煤峽谷,59,Road_01_59.PNG,594,200
60,魯曼,60,Road_01_60.PNG,455,1000
61,修練森林,61,Road_01_61.PNG,594,200
62,燃燒的都市,62,Road_01_62.PNG,594,200
63,亞瑪倫沙漠,63,Road_01_63.PNG,594,200
64,塔爾達洛斯,64,Road_01_64.PNG,594,200
65,地下都市工地,65,Road_01_65.PNG,461,20
66,亞德利卡,66,Road_01_66.PNG,594,200
67,福波斯,67,Road_01_67.PNG,594,200
68,底波拉雪原,68,Road_01_68.PNG,594,200
69,阿瓦隆,69,Road_01_69.PNG,594,200
70,晶月森林,70,Road_01_70.PNG,632,25
71,拉蘭街道,71,Road_01_71.PNG,594,200
72,宇宙旅行,72,Road_01_72.PNG,594,200
73,宇宙旅行,73,Road_01_73.PNG,594,200
74,宇宙旅行,74,Road_01_74.PNG,594,200
75,宇宙旅行,75,Road_01_75.PNG,132,10
